Symbol,Date,Close,High,Low,Open,Volume
SCBL,2001-08-06,5.5,5.5,5.5,5.5,0
SCBL,2001-08-07,5.5,5.5,5.5,5.5,0
SCBL,2001-08-08,5.5,5.5,5.5,5.5,0
SCBL,2001-08-09,5.5,5.5,5.5,5.5,0
SCBL,2001-08-10,5.5,5.5,5.5,5.5,0
SCBL,2001-08-13,5.5,5.5,5.5,5.5,0
SCBL,2001-08-14,5.5,5.5,5.5,5.5,0
SCBL,2001-08-15,5.5,5.5,5.5,5.5,0
SCBL,2001-08-16,5.5,5.5,5.5,5.5,0
SCBL,2001-08-17,5.5,5.5,5.5,5.5,0
SCBL,2001-08-20,5.5,5.5,5.5,5.5,0
SCBL,2001-08-21,5.5,5.5,5.5,5.5,0
SCBL,2001-08-22,5.5,5.5,5.5,5.5,0
SCBL,2001-08-23,5.5,5.5,5.5,5.5,0
SCBL,2001-08-24,5.5,5.5,5.5,5.5,0
SCBL,2001-08-27,5.5,5.5,5.5,5.5,0
SCBL,2001-08-28,5.5,5.5,5.5,5.5,0
SCBL,2001-08-29,5.5,5.5,5.5,5.5,0
SCBL,2001-08-30,5.5,5.5,5.5,5.5,0
SCBL,2001-08-31,5.5,5.5,5.5,5.5,0
SCBL,2001-09-03,5.5,5.5,5.5,5.5,0
SCBL,2001-09-04,5.5,5.5,5.5,5.5,0
SCBL,2001-09-05,5.5,5.5,5.5,5.5,0
SCBL,2001-09-06,5.5,5.5,5.5,5.5,0
SCBL,2001-09-07,5.5,5.5,5.5,5.5,0
SCBL,2001-09-10,5.5,5.5,5.5,5.5,0
SCBL,2001-09-11,5.5,5.5,5.5,5.5,0
SCBL,2001-09-12,5.5,5.5,5.5,5.5,0
SCBL,2001-09-13,5.5,5.5,5.5,5.5,0
SCBL,2001-09-14,5.5,5.5,5.5,5.5,0
SCBL,2001-09-17,5.5,5.5,5.5,5.5,0
SCBL,2001-09-18,5.5,5.5,5.5,5.5,0
SCBL,2001-09-19,5.5,5.5,5.5,5.5,0
SCBL,2001-09-20,5.5,5.5,5.5,5.5,0
SCBL,2001-09-21,5.5,5.5,5.5,5.5,0
SCBL,2001-09-24,5.5,5.5,5.5,5.5,0
SCBL,2001-09-25,5.5,5.5,5.5,5.5,0
SCBL,2001-09-26,5.5,5.5,5.5,5.5,0
SCBL,2001-09-27,5.5,5.5,5.5,5.5,0
SCBL,2001-09-28,5.5,5.5,5.5,5.5,0
SCBL,2001-10-01,5.5,5.5,5.5,5.5,0
SCBL,2001-10-02,5.5,5.5,5.5,5.5,0
SCBL,2001-10-03,5.5,5.5,5.5,5.5,0
SCBL,2001-10-04,5.5,5.5,5.5,5.5,0
SCBL,2001-10-05,5.5,5.5,5.5,5.5,0
SCBL,2001-10-08,5.5,5.5,5.5,5.5,0
SCBL,2001-10-09,5.5,5.5,5.5,5.5,0
SCBL,2001-10-10,5.5,5.5,5.5,5.5,0
SCBL,2001-10-11,5.5,5.5,5.5,5.5,0
SCBL,2001-10-12,5.5,5.5,5.5,5.5,0
SCBL,2001-10-15,5.5,5.5,5.5,5.5,0
SCBL,2001-10-16,5.5,5.5,5.5,5.5,0
SCBL,2001-10-17,5.5,5.5,5.5,5.5,0
SCBL,2001-10-18,5.5,5.5,5.5,5.5,0
SCBL,2001-10-19,5.5,5.5,5.5,5.5,0
SCBL,2001-10-22,5.5,5.5,5.5,5.5,0
SCBL,2001-10-23,5.5,5.5,5.5,5.5,0
SCBL,2001-10-24,5.5,5.5,5.5,5.5,0
SCBL,2001-10-25,5.5,5.5,5.5,5.5,0
SCBL,2001-10-26,5.5,5.5,5.5,5.5,0
SCBL,2001-10-29,5.5,5.5,5.5,5.5,0
SCBL,2001-10-30,5.5,5.5,5.5,5.5,0
SCBL,2001-10-31,5.5,5.5,5.5,5.5,0
SCBL,2001-11-01,5.5,5.5,5.5,5.5,0
SCBL,2001-11-02,5.5,5.5,5.5,5.5,0
SCBL,2001-11-05,5.5,5.5,5.5,5.5,0
SCBL,2001-11-06,5.5,5.5,5.5,5.5,0
SCBL,2001-11-07,5.5,5.5,5.5,5.5,0
SCBL,2001-11-08,5.5,5.5,5.5,5.5,0
SCBL,2001-11-09,5.5,5.5,5.5,5.5,0
SCBL,2001-11-12,5.5,5.5,5.5,5.5,0
SCBL,2001-11-13,5.5,5.5,5.5,5.5,0
SCBL,2001-11-14,5.5,5.5,5.5,5.5,0
SCBL,2001-11-15,5.5,5.5,5.5,5.5,0
SCBL,2001-11-16,5.5,5.5,5.5,5.5,0
SCBL,2001-11-19,5.5,5.5,5.5,5.5,0
SCBL,2001-11-20,5.5,5.5,5.5,5.5,0
SCBL,2001-11-21,5.5,5.5,5.5,5.5,0
SCBL,2001-11-22,5.5,5.5,5.5,5.5,0
SCBL,2001-11-23,5.5,5.5,5.5,5.5,0
SCBL,2001-11-26,5.5,5.5,5.5,5.5,0
SCBL,2001-11-27,5.5,5.5,5.5,5.5,0
SCBL,2001-11-28,5.5,5.5,5.5,5.5,0
SCBL,2001-11-29,5.5,5.5,5.5,5.5,0
SCBL,2001-11-30,5.5,5.5,5.5,5.5,0
SCBL,2001-12-03,5.5,5.5,5.5,5.5,0
SCBL,2001-12-04,5.5,5.5,5.5,5.5,0
SCBL,2001-12-05,5.5,5.5,5.5,5.5,0
SCBL,2001-12-06,5.5,5.5,5.5,5.5,0
SCBL,2001-12-07,5.5,5.5,5.5,5.5,0
SCBL,2001-12-10,5.5,5.5,5.5,5.5,0
SCBL,2001-12-11,5.5,5.5,5.5,5.5,0
SCBL,2001-12-12,5.5,5.5,5.5,5.5,0
SCBL,2001-12-13,5.5,5.5,5.5,5.5,0
SCBL,2001-12-14,5.5,5.5,5.5,5.5,0
SCBL,2001-12-17,5.5,5.5,5.5,5.5,0
SCBL,2001-12-18,5.5,5.5,5.5,5.5,0
SCBL,2001-12-19,5.5,5.5,5.5,5.5,0
SCBL,2001-12-20,5.5,5.5,5.5,5.5,0
SCBL,2001-12-21,5.5,5.5,5.5,5.5,0
SCBL,2001-12-24,5.5,5.5,5.5,5.5,0
SCBL,2001-12-25,5.5,5.5,5.5,5.5,0
SCBL,2001-12-26,5.5,5.5,5.5,5.5,0
SCBL,2001-12-27,5.5,5.5,5.5,5.5,0
SCBL,2001-12-28,5.5,5.5,5.5,5.5,0
SCBL,2001-12-31,5.5,5.5,5.5,5.5,0
SCBL,2002-01-01,5.5,5.5,5.5,5.5,0
SCBL,2002-01-02,5.5,5.5,5.5,5.5,0
SCBL,2002-01-03,5.5,5.5,5.5,5.5,0
SCBL,2002-01-04,5.5,5.5,5.5,5.5,0
SCBL,2002-01-07,5.5,5.5,5.5,5.5,0
SCBL,2002-01-08,5.5,5.5,5.5,5.5,0
SCBL,2002-01-09,5.5,5.5,5.5,5.5,0
SCBL,2002-01-10,5.5,5.5,5.5,5.5,0
SCBL,2002-01-11,5.5,5.5,5.5,5.5,0
SCBL,2002-01-14,5.5,5.5,5.5,5.5,0
SCBL,2002-01-15,5.5,5.5,5.5,5.5,0
SCBL,2002-01-16,5.5,5.5,5.5,5.5,0
SCBL,2002-01-17,5.5,5.5,5.5,5.5,0
SCBL,2002-01-18,5.5,5.5,5.5,5.5,0
SCBL,2002-01-21,5.5,5.5,5.5,5.5,0
SCBL,2002-01-22,5.5,5.5,5.5,5.5,0
SCBL,2002-01-23,5.5,5.5,5.5,5.5,0
SCBL,2002-01-24,5.5,5.5,5.5,5.5,0
SCBL,2002-01-25,5.5,5.5,5.5,5.5,0
SCBL,2002-01-28,5.5,5.5,5.5,5.5,0
SCBL,2002-01-29,5.5,5.5,5.5,5.5,0
SCBL,2002-01-30,5.5,5.5,5.5,5.5,0
SCBL,2002-01-31,5.5,5.5,5.5,5.5,0
SCBL,2002-02-01,5.5,5.5,5.5,5.5,0
SCBL,2002-02-04,5.5,5.5,5.5,5.5,0
SCBL,2002-02-05,5.5,5.5,5.5,5.5,0
SCBL,2002-02-06,5.5,5.5,5.5,5.5,0
SCBL,2002-02-07,5.5,5.5,5.5,5.5,0
SCBL,2002-02-08,5.5,5.5,5.5,5.5,0
SCBL,2002-02-11,5.5,5.5,5.5,5.5,0
SCBL,2002-02-12,5.5,5.5,5.5,5.5,0
SCBL,2002-02-13,5.5,5.5,5.5,5.5,0
SCBL,2002-02-14,5.5,5.5,5.5,5.5,0
SCBL,2002-02-15,5.5,5.5,5.5,5.5,0
SCBL,2002-02-18,5.5,5.5,5.5,5.5,0
SCBL,2002-02-19,5.5,5.5,5.5,5.5,0
SCBL,2002-02-20,5.5,5.5,5.5,5.5,0
SCBL,2002-02-21,5.5,5.5,5.5,5.5,0
SCBL,2002-02-22,5.5,5.5,5.5,5.5,0
SCBL,2002-02-25,5.5,5.5,5.5,5.5,0
SCBL,2002-02-26,5.5,5.5,5.5,5.5,0
SCBL,2002-02-27,5.5,5.5,5.5,5.5,0
SCBL,2002-02-28,5.5,5.5,5.5,5.5,0
SCBL,2002-03-01,5.5,5.5,5.5,5.5,0
SCBL,2002-03-04,5.5,5.5,5.5,5.5,0
SCBL,2002-03-05,5.5,5.5,5.5,5.5,0
SCBL,2002-03-06,5.5,5.5,5.5,5.5,0
SCBL,2002-03-07,5.5,5.5,5.5,5.5,0
SCBL,2002-03-08,5.5,5.5,5.5,5.5,0
SCBL,2002-03-11,5.5,5.5,5.5,5.5,0
SCBL,2002-03-12,5.5,5.5,5.5,5.5,0
SCBL,2002-03-13,5.5,5.5,5.5,5.5,0
SCBL,2002-03-14,5.5,5.5,5.5,5.5,0
SCBL,2002-03-15,5.5,5.5,5.5,5.5,0
SCBL,2002-03-18,5.5,5.5,5.5,5.5,0
SCBL,2002-03-19,5.5,5.5,5.5,5.5,0
SCBL,2002-03-20,5.5,5.5,5.5,5.5,0
SCBL,2002-03-21,5.5,5.5,5.5,5.5,0
SCBL,2002-03-22,5.5,5.5,5.5,5.5,0
SCBL,2002-03-25,5.5,5.5,5.5,5.5,0
SCBL,2002-03-26,5.5,5.5,5.5,5.5,0
SCBL,2002-03-27,5.5,5.5,5.5,5.5,0
SCBL,2002-03-28,5.5,5.5,5.5,5.5,0
SCBL,2002-03-29,5.5,5.5,5.5,5.5,0
SCBL,2002-04-01,5.5,5.5,5.5,5.5,0
SCBL,2002-04-02,5.5,5.5,5.5,5.5,0
SCBL,2002-04-03,5.5,5.5,5.5,5.5,0
SCBL,2002-04-04,5.5,5.5,5.5,5.5,0
SCBL,2002-04-05,5.5,5.5,5.5,5.5,0
SCBL,2002-04-08,5.5,5.5,5.5,5.5,0
SCBL,2002-04-09,5.5,5.5,5.5,5.5,0
SCBL,2002-04-10,5.5,5.5,5.5,5.5,0
SCBL,2002-04-11,5.5,5.5,5.5,5.5,0
SCBL,2002-04-12,5.5,5.5,5.5,5.5,0
SCBL,2002-04-15,5.5,5.5,5.5,5.5,0
SCBL,2002-04-16,5.5,5.5,5.5,5.5,0
SCBL,2002-04-17,5.5,5.5,5.5,5.5,0
SCBL,2002-04-18,5.5,5.5,5.5,5.5,0
SCBL,2002-04-19,5.5,5.5,5.5,5.5,0
SCBL,2002-04-22,5.5,5.5,5.5,5.5,0
SCBL,2002-04-23,5.5,5.5,5.5,5.5,0
SCBL,2002-04-24,5.5,5.5,5.5,5.5,0
SCBL,2002-04-25,5.5,5.5,5.5,5.5,0
SCBL,2002-04-26,5.5,5.5,5.5,5.5,0
SCBL,2002-04-29,5.5,5.5,5.5,5.5,0
SCBL,2002-04-30,5.5,5.5,5.5,5.5,0
SCBL,2002-05-01,5.5,5.5,5.5,5.5,0
SCBL,2002-05-02,5.5,5.5,5.5,5.5,0
SCBL,2002-05-03,5.5,5.5,5.5,5.5,0
SCBL,2002-05-06,5.5,5.5,5.5,5.5,0
SCBL,2002-05-07,5.5,5.5,5.5,5.5,0
SCBL,2002-05-08,5.5,5.5,5.5,5.5,0
SCBL,2002-05-09,5.5,5.5,5.5,5.5,0
SCBL,2002-05-10,5.5,5.5,5.5,5.5,0
SCBL,2002-05-13,5.5,5.5,5.5,5.5,0
SCBL,2002-05-14,5.5,5.5,5.5,5.5,0
SCBL,2002-05-15,5.5,5.5,5.5,5.5,0
SCBL,2002-05-16,5.5,5.5,5.5,5.5,0
SCBL,2002-05-17,5.5,5.5,5.5,5.5,0
SCBL,2002-05-20,5.5,5.5,5.5,5.5,0
SCBL,2002-05-21,5.5,5.5,5.5,5.5,0
SCBL,2002-05-22,5.5,5.5,5.5,5.5,0
SCBL,2002-05-23,5.5,5.5,5.5,5.5,0
SCBL,2002-05-24,5.5,5.5,5.5,5.5,0
SCBL,2002-05-27,5.5,5.5,5.5,5.5,0
SCBL,2002-05-28,5.5,5.5,5.5,5.5,0
SCBL,2002-05-29,5.5,5.5,5.5,5.5,0
SCBL,2002-05-30,5.5,5.5,5.5,5.5,0
SCBL,2002-05-31,5.5,5.5,5.5,5.5,0
SCBL,2002-06-03,5.5,5.5,5.5,5.5,0
SCBL,2002-06-04,5.5,5.5,5.5,5.5,0
SCBL,2002-06-05,5.5,5.5,5.5,5.5,0
SCBL,2002-06-06,5.5,5.5,5.5,5.5,0
SCBL,2002-06-07,5.5,5.5,5.5,5.5,0
SCBL,2002-06-10,5.5,5.5,5.5,5.5,0
SCBL,2002-06-11,5.5,5.5,5.5,5.5,0
SCBL,2002-06-12,5.5,5.5,5.5,5.5,0
SCBL,2002-06-13,5.5,5.5,5.5,5.5,0
SCBL,2002-06-14,5.5,5.5,5.5,5.5,0
SCBL,2002-06-17,5.5,5.5,5.5,5.5,0
SCBL,2002-06-18,5.5,5.5,5.5,5.5,0
SCBL,2002-06-19,5.5,5.5,5.5,5.5,0
SCBL,2002-06-20,5.5,5.5,5.5,5.5,0
SCBL,2002-06-21,5.5,5.5,5.5,5.5,0
SCBL,2002-06-24,5.5,5.5,5.5,5.5,0
SCBL,2002-06-25,5.5,5.5,5.5,5.5,0
SCBL,2002-06-26,5.5,5.5,5.5,5.5,0
SCBL,2002-06-27,5.5,5.5,5.5,5.5,0
SCBL,2002-06-28,5.5,5.5,5.5,5.5,0
SCBL,2002-07-01,5.5,5.5,5.5,5.5,0
SCBL,2002-07-02,5.5,5.5,5.5,5.5,0
SCBL,2002-07-03,5.5,5.5,5.5,5.5,0
SCBL,2002-07-04,5.5,5.5,5.5,5.5,0
SCBL,2002-07-05,5.5,5.5,5.5,5.5,0
SCBL,2002-07-08,5.5,5.5,5.5,5.5,0
SCBL,2002-07-09,5.5,5.5,5.5,5.5,0
SCBL,2002-07-10,5.5,5.5,5.5,5.5,0
SCBL,2002-07-11,5.5,5.5,5.5,5.5,0
SCBL,2002-07-12,5.5,5.5,5.5,5.5,0
SCBL,2002-07-15,5.5,5.5,5.5,5.5,0
SCBL,2002-07-16,5.5,5.5,5.5,5.5,0
SCBL,2002-07-17,5.5,5.5,5.5,5.5,0
SCBL,2002-07-18,5.5,5.5,5.5,5.5,0
SCBL,2002-07-19,5.5,5.5,5.5,5.5,0
SCBL,2002-07-22,5.5,5.5,5.5,5.5,0
SCBL,2002-07-23,5.5,5.5,5.5,5.5,0
SCBL,2002-07-24,5.5,5.5,5.5,5.5,0
SCBL,2002-07-25,5.5,5.5,5.5,5.5,0
SCBL,2002-07-26,5.5,5.5,5.5,5.5,0
SCBL,2002-07-29,5.5,5.5,5.5,5.5,0
SCBL,2002-07-30,5.5,5.5,5.5,5.5,0
SCBL,2002-07-31,5.5,5.5,5.5,5.5,0
SCBL,2002-08-01,5.5,5.5,5.5,5.5,0
SCBL,2002-08-02,5.5,5.5,5.5,5.5,0
SCBL,2002-08-05,5.5,5.5,5.5,5.5,0
SCBL,2002-08-06,5.5,5.5,5.5,5.5,0
SCBL,2002-08-07,5.5,5.5,5.5,5.5,0
SCBL,2002-08-08,5.5,5.5,5.5,5.5,0
SCBL,2002-08-09,5.5,5.5,5.5,5.5,0
SCBL,2002-08-12,5.5,5.5,5.5,5.5,0
SCBL,2002-08-13,5.5,5.5,5.5,5.5,0
SCBL,2002-08-14,5.5,5.5,5.5,5.5,0
SCBL,2002-08-15,5.5,5.5,5.5,5.5,0
SCBL,2002-08-16,5.5,5.5,5.5,5.5,0
SCBL,2002-08-19,5.5,5.5,5.5,5.5,0
SCBL,2002-08-20,5.5,5.5,5.5,5.5,0
SCBL,2002-08-21,5.5,5.5,5.5,5.5,0
SCBL,2002-08-22,5.5,5.5,5.5,5.5,0
SCBL,2002-08-23,5.5,5.5,5.5,5.5,0
SCBL,2002-08-26,5.5,5.5,5.5,5.5,0
SCBL,2002-08-27,5.5,5.5,5.5,5.5,0
SCBL,2002-08-28,5.5,5.5,5.5,5.5,0
SCBL,2002-08-29,5.5,5.5,5.5,5.5,0
SCBL,2002-08-30,5.5,5.5,5.5,5.5,0
SCBL,2002-09-02,5.5,5.5,5.5,5.5,0
SCBL,2002-09-03,5.5,5.5,5.5,5.5,0
SCBL,2002-09-04,5.5,5.5,5.5,5.5,0
SCBL,2002-09-05,5.5,5.5,5.5,5.5,0
SCBL,2002-09-06,5.5,5.5,5.5,5.5,0
SCBL,2002-09-09,5.5,5.5,5.5,5.5,0
SCBL,2002-09-10,5.5,5.5,5.5,5.5,0
SCBL,2002-09-11,5.5,5.5,5.5,5.5,0
SCBL,2002-09-12,5.5,5.5,5.5,5.5,0
SCBL,2002-09-13,5.5,5.5,5.5,5.5,0
SCBL,2002-09-16,5.5,5.5,5.5,5.5,0
SCBL,2002-09-17,5.5,5.5,5.5,5.5,0
SCBL,2002-09-18,5.5,5.5,5.5,5.5,0
SCBL,2002-09-19,5.5,5.5,5.5,5.5,0
SCBL,2002-09-20,5.5,5.5,5.5,5.5,0
SCBL,2002-09-23,5.5,5.5,5.5,5.5,0
SCBL,2002-09-24,5.5,5.5,5.5,5.5,0
SCBL,2002-09-25,5.5,5.5,5.5,5.5,0
SCBL,2002-09-26,5.5,5.5,5.5,5.5,0
SCBL,2002-09-27,5.5,5.5,5.5,5.5,0
SCBL,2002-09-30,5.5,5.5,5.5,5.5,0
SCBL,2002-10-01,5.5,5.5,5.5,5.5,0
SCBL,2002-10-02,5.5,5.5,5.5,5.5,0
SCBL,2002-10-03,5.5,5.5,5.5,5.5,0
SCBL,2002-10-04,5.5,5.5,5.5,5.5,0
SCBL,2002-10-07,5.5,5.5,5.5,5.5,0
SCBL,2002-10-08,5.5,5.5,5.5,5.5,0
SCBL,2002-10-09,5.5,5.5,5.5,5.5,0
